"","y","x","Ob","Sho_126","Mid_126","Long_126","Sho_245","Mid_245","Long_245","Sho_585","Mid_585","Long_585"
"467",-44.625,-74.875,30.9877980400849,90.66000943,125.890792433,242.627991884,89.0419941325,200.770987498,468.25334697,83.360240028,256.083619905,834.302073655
"468",-44.625,167.625,76.9454179141235,152.890395572,209.945342823,270.6504833,127.3106050715,301.01583551,632.297417105,162.169282382,437.212116195,1087.933435225
"469",-44.625,167.875,76.6420187742615,154.313529565,210.3638694845,269.41980002,128.1957002855,300.533380195,633.671981395,162.871614276,438.767831125,1092.117073155
"470",-44.875,-65.375,50.7360314406586,109.495875758,181.950514546,234.482585005,117.955748637,289.785876615,553.866495155,137.366866387,388.13915874,988.17354331
"471",-44.875,-65.625,48.6290834072113,111.372127812,183.122218084,237.754953605,118.280154001,293.34955638,555.720331915,136.606406109,387.616042155,986.69153692
"472",-44.875,-66.125,44.6885378041839,114.86403844,181.7906593085,236.98885979,121.3348500345,295.772569185,553.654457075,137.3577568545,387.565053145,993.43347993
"473",-44.875,-72.625,29.8112104736328,99.1296336665,132.3970973055,247.67256954,89.3829135475,210.413127655,488.519902605,92.9127431845,286.69621559,864.94285406
"474",-44.875,-72.875,33.4050503536987,98.617384933,131.126757431,247.18986646,89.09890387,210.251528516,487.862391805,92.192339416,285.893748165,862.883623865
"475",-44.875,-73.125,35.0430843648529,97.70779869,129.9179942585,246.0292403,88.0144024675,208.169934282,485.14809287,89.5654414045,281.7787488,855.36900713
"476",-44.875,-73.375,35.2126764421082,96.6894006385,129.7211735865,244.963955674,87.572255342,207.2945590485,483.784543875,88.8279235855,277.801457,852.751365755
"477",-44.875,-73.625,33.6244409655762,96.445472885,128.5693775195,245.208373641,88.142632212,205.401175711,480.305772425,88.6721078905,274.43435334,848.99867465
"478",-44.875,-73.875,33.0365661390687,93.042911008,126.742697096,242.492622348,87.5491795405,203.908057729,476.088763925,86.508957829,264.213939615,843.169943
"479",-44.875,-74.125,31.7151304456329,91.9810483865,126.045961363,242.557958004,88.280837951,203.3900500155,475.64348313,86.398935807,260.858154425,843.364996775
"480",-44.875,-74.375,29.7530267249298,92.412596159,126.0399992235,242.315758072,88.9598514275,202.539320207,475.841045165,87.654898855,260.55929991,842.68374224
"481",-44.875,-74.625,31.0732773915863,94.6470321895,126.362494099,240.4484012045,88.635214275,203.645205591,474.53939504,87.9490626295,264.330528845,843.04620747
"482",-44.875,-75.125,34.9723069338226,90.3144199655,124.8298852255,249.7994514695,86.9354677415,196.334875363,474.04061425,82.4326854615,252.600050471,841.00246399
"483",-44.875,167.125,72.3701988975525,152.12306693,205.8790839755,273.263327285,121.790218667,302.29245902,629.32834399,162.83081161,431.703311245,1072.866033055
"484",-44.875,167.375,75.3966434063721,152.1169691625,207.3984677135,271.5940782,123.8423774495,301.08478499,630.402361975,161.125548516,434.857362975,1076.77373007
"485",-44.875,167.625,75.5398892057038,151.8544609685,208.745637842,271.926505585,123.6371377905,300.17314513,631.17803869,162.0958571155,435.42845083,1079.63308064
"486",-45.125,-65.375,50.8798885234833,111.9199326085,183.216875382,237.868705555,116.99817882,294.467459365,556.705828235,136.3082967095,388.126897975,987.672540435
"487",-45.125,-65.625,47.8438041357422,114.2263050035,182.908079051,237.88265215,119.582942037,295.27115706,555.154823655,137.670064124,386.86892339,989.99282651
"488",-45.125,-65.875,42.4646108447265,115.338952453,182.0677696865,237.13043386,121.075250554,296.700040825,553.783905335,137.6861531315,387.19280354,995.122897165
"489",-45.125,-66.125,40.5141713902283,115.3538090065,180.0026746095,237.911879755,121.554292721,298.363956445,552.641593695,136.450419329,384.939415495,1000.15069548
"490",-45.125,-66.375,44.280908656311,115.402948186,180.810618578,237.37751825,123.724035984,299.34141325,553.947760755,136.3133266165,385.52773689,1000.951692805
"491",-45.125,-66.625,46.764018463974,116.422381246,180.2361297285,236.82750178,123.4634941665,300.4368601,554.08219933,135.9442499135,384.67832514,1002.654350835
"492",-45.125,-73.375,34.8317302384948,95.675040062,128.751575398,244.852055151,88.337699775,204.309411655,479.513401695,88.6422124485,268.275929635,847.60110909
"493",-45.125,-73.625,34.3801376921082,94.4852902195,127.4044689115,243.1487031215,88.7932954225,202.3877673745,477.9622193,88.8146560005,262.79319445,843.87434335
"494",-45.125,-73.875,33.5471361538696,93.2773733835,125.638902434,243.9436710195,88.2693562075,202.4726965085,476.12990189,88.150332326,261.08231115,843.705479945
"495",-45.125,-74.125,32.1497311768341,92.716747907,125.015815575,245.241499392,87.944961471,202.157731194,475.035394255,87.741282087,258.51831304,842.72144019
"496",-45.125,-74.375,32.3188621196747,92.7536448625,125.3583935555,245.0708823635,88.0084461575,202.888812175,474.66564911,87.844999067,259.095523995,843.52174341
"497",-45.125,-74.625,34.4584165618897,92.49251809,127.749574062,245.4895339565,87.601025446,205.5810613555,471.94095886,88.9575652455,259.1173709475,847.540202325
"498",-45.125,166.875,72.3812788814544,150.0999945225,200.9627368655,273.253447755,120.9400272645,298.701610265,628.11165008,157.3053225055,423.992705355,1058.530422125
"499",-45.125,167.125,71.4930460315704,149.8583351665,200.7651831745,273.282548725,119.962823976,299.25539989,628.079652685,159.060131616,424.176903925,1060.762027865
"500",-45.125,167.375,72.2027302254487,149.5672162485,203.1311939565,273.13108637,123.0841653465,300.48250083,627.728753855,160.6462361575,426.331968525,1063.91563764
"501",-45.125,170.875,84.5219602691651,128.611611076,182.964158349,284.924512605,128.0307880265,283.87623207,607.25024198,133.3981139865,400.484224355,1011.290894575
"502",-45.375,-67.125,51.1237786360168,115.5045380815,180.210810993,237.727527545,124.9093043805,300.9087079,554.67956222,135.3161196955,384.54251657,1004.129120255
"503",-45.375,-73.375,34.5586285966492,94.7861771075,126.7654233335,244.148884802,88.6802850125,202.634986778,476.989580435,88.59055478,261.983570585,844.01699212
"504",-45.375,-73.625,34.2221413007355,93.7506385815,126.2855783475,245.122075786,87.999046025,202.62145281,475.900752085,88.15032802,259.18856278,841.754272105
"505",-45.375,-73.875,34.0486930731201,93.6184447085,125.713625507,245.441222125,88.1646683925,202.208949096,475.503930005,87.7001223335,258.109131835,841.836947525
"506",-45.375,-74.125,33.8713590650177,92.5014966125,126.871075023,246.4671164335,88.175496657,202.0547413795,476.235044475,87.0071027355,256.715153836,843.89032549
"507",-45.375,-74.375,34.5875033796692,91.9187573055,127.330321064,246.8850214385,88.334338416,201.287837672,476.331004435,86.672557761,257.1244537595,844.4990768
"508",-45.375,-74.625,34.1709618804169,91.6351017155,126.8455101145,247.718745714,88.01299715,200.74783221,477.588291225,87.117286407,257.5993874925,846.475151125
"509",-45.375,166.625,78.2289296229553,148.5073375655,197.621028081,276.013167505,123.51803604075,293.48843232,623.308676555,153.414662214,419.191848805,1044.63621845
"510",-45.375,166.875,75.7671369464874,148.5923743785,197.855024695,275.919912515,123.11395224065,294.440638015,624.291708005,153.8867801995,420.086621285,1046.793926365
"511",-45.375,167.125,75.6252799571228,148.939073698,197.6013644505,275.815408695,123.24070310075,294.588021275,624.467414385,153.7222369025,420.10109483,1047.095958505
"512",-45.375,170.875,83.6692859992981,127.890908141,180.398640226,284.53844321,125.9906196365,279.473993735,605.105416235,132.29917286,394.07543312,1002.061414785
"513",-45.625,-67.125,51.4763001816559,114.831919771,180.5050454945,238.255684945,124.5616308515,301.539744565,554.415519015,134.866164339,384.77916939,1004.980799595
"514",-45.625,-67.375,51.8409406091309,115.213191798,180.7016439275,238.99411807,125.0735378535,301.94683229,554.602327555,135.2395969045,384.8382893,1005.688616865
"515",-45.625,-73.125,34.438702455368,95.173993303,127.3070946865,245.153468807,88.64263432,202.0144232545,476.722025365,88.817337203,259.2920478,842.026973015
"516",-45.625,-73.375,34.2812502759552,93.4430012045,127.3601578395,246.101486488,89.2653787105,202.129143835,475.954806115,87.809693822,257.5214552565,841.08409484
"517",-45.625,-73.625,34.4660834673309,91.9090045805,127.113094397,247.9320302795,88.5354123445,200.267663756,477.043887465,85.8420904245,255.4234789655,843.222692545
"518",-45.625,-73.875,35.1119551869965,91.6557872495,126.847809834,247.783854608,89.1050092305,200.706310012,476.49561797,85.7719632615,255.454052829,843.427432295
